2004-W01;CH;_T;T;;1516
2004-W01;CH;_T;F;;799
2004-W01;CH;_T;M;;717
2004-W01;CH;Y0T4;T;;6
2004-W01;CH;Y0T4;F;;2
2004-W01;CH;Y0T4;M;;4
2004-W01;CH;Y10T14;T;;2
2004-W01;CH;Y10T14;M;;2
2004-W01;CH;Y15T19;T;;1
2004-W01;CH;Y15T19;M;;1
2004-W01;CH;Y20T24;T;;8
2004-W01;CH;Y20T24;M;;8
2004-W01;CH;Y25T29;T;;5
2004-W01;CH;Y25T29;F;;1
2004-W01;CH;Y25T29;M;;4
2004-W01;CH;Y30T34;T;;6
2004-W01;CH;Y30T34;F;;1
2004-W01;CH;Y30T34;M;;5
2004-W01;CH;Y35T39;T;;10
2004-W01;CH;Y35T39;F;;2
2004-W01;CH;Y35T39;M;;8
2004-W01;CH;Y40T44;T;;19
2004-W01;CH;Y40T44;F;;6
2004-W01;CH;Y40T44;M;;13
2004-W01;CH;Y45T49;T;;15
2004-W01;CH;Y45T49;F;;6
2004-W01;CH;Y45T49;M;;9
2004-W01;CH;Y50T54;T;;36
2004-W01;CH;Y50T54;F;;10
2004-W01;CH;Y50T54;M;;26
2004-W01;CH;Y55T59;T;;57
2004-W01;CH;Y55T59;F;;18
2004-W01;CH;Y55T59;M;;39
2004-W01;CH;Y60T64;T;;63
2004-W01;CH;Y60T64;F;;24
2004-W01;CH;Y60T64;M;;39
2004-W01;CH;Y65T69;T;;65
2004-W01;CH;Y65T69;F;;25
2004-W01;CH;Y65T69;M;;40
2004-W01;CH;Y70T74;T;;123
2004-W01;CH;Y70T74;F;;50
2004-W01;CH;Y70T74;M;;73
2004-W01;CH;Y75T79;T;;142
2004-W01;CH;Y75T79;F;;68
2004-W01;CH;Y75T79;M;;74
2004-W01;CH;Y80T84;T;;261
2004-W01;CH;Y80T84;F;;132
2004-W01;CH;Y80T84;M;;129
2004-W01;CH;Y85T89;T;;315
2004-W01;CH;Y85T89;F;;180
2004-W01;CH;Y85T89;M;;135
2004-W01;CH;Y_GE90;T;;382
2004-W01;CH;Y_GE90;F;;274
2004-W01;CH;Y_GE90;M;;108
2004-W01;CH011;_T;T;;150
2004-W01;CH011;_T;F;;83
2004-W01;CH011;_T;M;;67
2004-W01;CH011;Y0T4;T;;1
2004-W01;CH011;Y0T4;M;;1
2004-W01;CH011;Y20T24;T;;1
2004-W01;CH011;Y20T24;M;;1
2004-W01;CH011;Y25T29;T;;1
2004-W01;CH011;Y25T29;M;;1
2004-W01;CH011;Y40T44;T;;3
2004-W01;CH011;Y40T44;F;;3
2004-W01;CH011;Y45T49;T;;1
2004-W01;CH011;Y45T49;F;;1
2004-W01;CH011;Y50T54;T;;1
2004-W01;CH011;Y50T54;M;;1
2004-W01;CH011;Y55T59;T;;3
2004-W01;CH011;Y55T59;M;;3
2004-W01;CH011;Y60T64;T;;7
2004-W01;CH011;Y60T64;F;;5
2004-W01;CH011;Y60T64;M;;2
2004-W01;CH011;Y65T69;T;;3
2004-W01;CH011;Y65T69;F;;1
2004-W01;CH011;Y65T69;M;;2
2004-W01;CH011;Y70T74;T;;16
2004-W01;CH011;Y70T74;F;;5
2004-W01;CH011;Y70T74;M;;11
2004-W01;CH011;Y75T79;T;;12
2004-W01;CH011;Y75T79;F;;4
2004-W01;CH011;Y75T79;M;;8
2004-W01;CH011;Y80T84;T;;35
2004-W01;CH011;Y80T84;F;;15
2004-W01;CH011;Y80T84;M;;20
2004-W01;CH011;Y85T89;T;;21
2004-W01;CH011;Y85T89;F;;14
2004-W01;CH011;Y85T89;M;;7
2004-W01;CH011;Y_GE90;T;;45
2004-W01;CH011;Y_GE90;F;;35
2004-W01;CH011;Y_GE90;M;;10
2004-W01;CH012;_T;T;;57
2004-W01;CH012;_T;F;;26
2004-W01;CH012;_T;M;;31
2004-W01;CH012;Y30T34;T;;1
2004-W01;CH012;Y30T34;M;;1
2004-W01;CH012;Y40T44;T;;1
2004-W01;CH012;Y40T44;M;;1
2004-W01;CH012;Y55T59;T;;2
2004-W01;CH012;Y55T59;F;;1
2004-W01;CH012;Y55T59;M;;1
2004-W01;CH012;Y60T64;T;;1
2004-W01;CH012;Y60T64;F;;1
2004-W01;CH012;Y65T69;T;;3
2004-W01;CH012;Y65T69;F;;1
2004-W01;CH012;Y65T69;M;;2
2004-W01;CH012;Y70T74;T;;3
2004-W01;CH012;Y70T74;F;;1
2004-W01;CH012;Y70T74;M;;2
2004-W01;CH012;Y75T79;T;;8
2004-W01;CH012;Y75T79;F;;3
2004-W01;CH012;Y75T79;M;;5
2004-W01;CH012;Y80T84;T;;13
