from,to,title,group,value
2,1,ScienceFiles,Impfung,2
3,1,ScienceFiles,mit oder an impfung gestorben,1
4,1,ScienceFiles,impf-nebenwirkungen,1
6,5,ScienceFiles,Studie,2
2,5,ScienceFiles,Impfung,2
7,5,ScienceFiles,sterblichkeit,1
8,5,ScienceFiles,lockdown,1
3,5,ScienceFiles,mit oder an impfung gestorben,1
10,9,tp - Science & Technology,Wissenschaft,2
11,9,tp - Science & Technology,who,1
12,9,tp - Science & Technology,virus-ursprung,1
13,9,tp - Science & Technology,wuhan,1
15,14,RT DE,Recht,2
2,14,RT DE,Impfung,2
4,14,RT DE,impf-nebenwirkungen,1
2,16,RT DE,Impfung,2
4,16,RT DE,impf-nebenwirkungen,1
17,16,RT DE,blutgerinnungsstörungen,1
18,16,RT DE,astrazeneca,1
19,16,RT DE,pei,1
21,20,Rubikon,Mensch,2
2,20,Rubikon,Impfung,2
22,20,Rubikon,manipulation,1
24,23,Wochenblick,Wirtschaft,2
25,23,Wochenblick,geld,1
27,26,Epoch Times,Zahlen,2
28,26,Epoch Times,rki,1
29,26,Epoch Times,massentest,1
22,26,Epoch Times,manipulation,1
27,30,Achgut.com,Zahlen,2
31,30,Achgut.com,maske,1
32,30,Achgut.com,massnahmen,1
15,33,Rubikon,Recht,2
22,33,Rubikon,manipulation,1
2,34,Tagesanzeiger,Impfung,2
35,34,Tagesanzeiger,immunität,1
37,36,Die Ostschweiz,Politik,2
38,36,Die Ostschweiz,bundesrat,1
22,36,Die Ostschweiz,manipulation,1
10,39,NachDenkSeiten,Wissenschaft,2
27,39,NachDenkSeiten,Zahlen,2
32,39,NachDenkSeiten,massnahmen,1
2,40,tp - Science & Technology,Impfung,2
6,40,tp - Science & Technology,Studie,2
4,40,tp - Science & Technology,impf-nebenwirkungen,1
41,40,tp - Science & Technology,biontech,1
43,42,Die Ostschweiz,Widerstand,2
21,42,Die Ostschweiz,Mensch,2
44,42,Die Ostschweiz,kollateralschäden,1
37,45,Die Ostschweiz,Politik,2
46,45,Die Ostschweiz,covid-19-gesetz,1
27,47,RT DE,Zahlen,2
29,47,RT DE,massentest,1
2,48,Corona Transition,Impfung,2
25,48,Corona Transition,geld,1
18,48,Corona Transition,astrazeneca,1
50,49,multipolar,P(l)andemie,2
22,49,multipolar,manipulation,1
51,49,multipolar,event 201,1
21,52,Report24,Mensch,2
10,52,Report24,Wissenschaft,2
53,52,Report24,dialog,1
2,54,medinside.ch,Impfung,2
55,54,medinside.ch,Medizin,2
56,54,medinside.ch,kind,1
57,54,medinside.ch,jugend,1
22,54,medinside.ch,manipulation,1
22,58,Die Ostschweiz,manipulation,1
60,59,NZZ,Schule,2
56,59,NZZ,kind,1
31,59,NZZ,maske,1
55,61,Corona Transition,Medizin,2
43,61,Corona Transition,Widerstand,2
2,61,Corona Transition,Impfung,2
62,61,Corona Transition,impf-stopp,1
2,63,reitschuster,Impfung,2
4,63,reitschuster,impf-nebenwirkungen,1
2,64,Die Ostschweiz,Impfung,2
65,64,Die Ostschweiz,grundrechte,1
66,64,Die Ostschweiz,impfzwang,1
15,67,Tichys Einblick,Recht,2
68,67,Tichys Einblick,pcr-test,1
10,69,Rubikon,Wissenschaft,2
70,69,Rubikon,virus-mutation,1
71,69,Rubikon,virus-isolation,1
68,69,Rubikon,pcr-test,1
37,72,RT DE,Politik,2
31,72,RT DE,maske,1
2,73,NZZ,Impfung,2
15,73,NZZ,Recht,2
37,73,NZZ,Politik,2
66,73,NZZ,impfzwang,1
21,74,tp - Science & Technology,Mensch,2
6,74,tp - Science & Technology,Studie,2
56,74,tp - Science & Technology,kind,1
44,74,tp - Science & Technology,kollateralschäden,1
10,75,cochrane,Wissenschaft,2
76,75,cochrane,cochrane,1
77,75,cochrane,schnelltest,1
55,78,reitschuster,Medizin,2
79,78,reitschuster,Gesundheit,2
2,78,reitschuster,Impfung,2
32,78,reitschuster,massnahmen,1
80,78,reitschuster,therapeutikum,1
10,81,ResearchGate,Wissenschaft,2
82,81,ResearchGate,researchgate,1
12,81,ResearchGate,virus-ursprung,1
2,83,multipolar,Impfung,2
10,83,multipolar,Wissenschaft,2
70,83,multipolar,virus-mutation,1
84,83,multipolar,welle3,1
28,83,multipolar,rki,1
2,85,RT DE,Impfung,2
3,85,RT DE,mit oder an impfung gestorben,1
27,86,2020 News,Zahlen,2
60,86,2020 News,Schule,2
56,86,2020 News,kind,1
2,87,Wochenblick,Impfung,2
3,87,Wochenblick,mit oder an impfung gestorben,1
41,87,Wochenblick,biontech,1
6,88,ScienceFiles,Studie,2
44,88,ScienceFiles,kollateralschäden,1
21,89,persoenlich.com,Mensch,2
43,89,persoenlich.com,Widerstand,2
31,89,persoenlich.com,maske,1
2,90,Wochenblick,Impfung,2
3,90,Wochenblick,mit oder an impfung gestorben,1
41,90,Wochenblick,biontech,1
55,91,Epoch Times,Medizin,2
12,91,Epoch Times,virus-ursprung,1
55,92,Focus Online,Medizin,2
15,92,Focus Online,Recht,2
19,92,Focus Online,pei,1
80,92,Focus Online,therapeutikum,1
37,93,substack.com,Politik,2
22,93,substack.com,manipulation,1
27,94,RT DE,Zahlen,2
29,94,RT DE,massentest,1
22,94,RT DE,manipulation,1
96,95,Wochenblick,Spital,2
27,95,Wochenblick,Zahlen,2
22,95,Wochenblick,manipulation,1
2,97,Report24,Impfung,2
4,97,Report24,impf-nebenwirkungen,1
