from,to,title,group,value
2,1,Wochenblick,Politik,2
3,1,Wochenblick,lockdown2,1
4,1,Wochenblick,willkür,1
6,5,Naturstoff Medizin,Medizin,2
7,5,Naturstoff Medizin,Widerstand,2
8,5,Naturstoff Medizin,zensur,1
9,5,Naturstoff Medizin,kollateralschäden,1
10,5,Naturstoff Medizin,massnahmen,1
12,11,Die Ostschweiz,Gesundheit,2
13,11,Die Ostschweiz,Mensch,2
14,11,Die Ostschweiz,dialog,1
16,15,Wochenblick,Wissenschaft,2
17,15,Wochenblick,pcr-test,1
18,15,Wochenblick,infektion,1
16,19,Hessisches Ärzteblatt,Wissenschaft,2
20,19,Hessisches Ärzteblatt,Impfung,2
2,21,meinbezirk.at,Politik,2
16,21,meinbezirk.at,Wissenschaft,2
22,21,meinbezirk.at,lockdown,1
23,21,meinbezirk.at,covidiot,1
25,24,RT DE,Zahlen,2
26,24,RT DE,sterblichkeit,1
6,27,reitschuster,Medizin,2
28,27,reitschuster,kind,1
29,27,reitschuster,maske,1
13,30,Die Welt,Mensch,2
7,30,Die Welt,Widerstand,2
3,30,Die Welt,lockdown2,1
12,31,Ktipp,Gesundheit,2
29,31,Ktipp,maske,1
25,32,INFOsperber,Zahlen,2
33,32,INFOsperber,manipulation,1
2,34,In$ide Paradeplatz,Politik,2
35,34,In$ide Paradeplatz,bundesrat,1
36,34,In$ide Paradeplatz,welle2,1
20,37,Telepolis,Impfung,2
38,37,Telepolis,impf-nebenwirkungen,1
39,37,Telepolis,spike-protein,1
20,40,Youtube,Impfung,2
13,41,Telepolis,Mensch,2
22,41,Telepolis,lockdown,1
9,41,Telepolis,kollateralschäden,1
20,42,In$ide Paradeplatz,Impfung,2
43,42,In$ide Paradeplatz,Recht,2
35,42,In$ide Paradeplatz,bundesrat,1
44,42,In$ide Paradeplatz,impfzwang,1
45,42,In$ide Paradeplatz,covid-19-gesetz,1
47,46,INFOsperber,Spital,2
48,46,INFOsperber,angst,1
2,49,NZZ,Politik,2
50,49,NZZ,quarantäne,1
35,49,NZZ,bundesrat,1
33,49,NZZ,manipulation,1
25,51,Die Ostschweiz,Zahlen,2
17,51,Die Ostschweiz,pcr-test,1
10,52,linth24,massnahmen,1
53,52,linth24,taskforce,1
16,54,Deutsche Apotheker Zeitung,Wissenschaft,2
29,54,Deutsche Apotheker Zeitung,maske,1
2,55,linth24,Politik,2
35,55,linth24,bundesrat,1
10,55,linth24,massnahmen,1
20,56,Schweizer Ärztezeitung,Impfung,2
2,57,substack.com,Politik,2
58,57,substack.com,wef,1
33,57,substack.com,manipulation,1
2,59,Weltwoche daily,Politik,2
10,59,Weltwoche daily,massnahmen,1
4,59,Weltwoche daily,willkür,1
33,59,Weltwoche daily,manipulation,1
61,60,Focus Online,Schule,2
28,60,Focus Online,kind,1
7,62,substack.com,Widerstand,2
58,62,substack.com,wef,1
10,62,substack.com,massnahmen,1
20,63,Telepolis,Impfung,2
25,63,Telepolis,Zahlen,2
17,63,Telepolis,pcr-test,1
65,64,Demokratischer Widerstand,P(l)andemie,2
66,64,Demokratischer Widerstand,great reset,1
58,64,Demokratischer Widerstand,wef,1
67,64,Demokratischer Widerstand,who,1
20,68,reitschuster,Impfung,2
67,68,reitschuster,who,1
69,68,reitschuster,immunität,1
25,70,Telepolis,Zahlen,2
3,70,Telepolis,lockdown2,1
13,71,Die Welt,Mensch,2
10,71,Die Welt,massnahmen,1
9,71,Die Welt,kollateralschäden,1
2,72,Die Ostschweiz,Politik,2
10,72,Die Ostschweiz,massnahmen,1
33,72,Die Ostschweiz,manipulation,1
20,73,Tagesanzeiger,Impfung,2
7,73,Tagesanzeiger,Widerstand,2
36,73,Tagesanzeiger,welle2,1
43,74,Die Ostschweiz,Recht,2
35,74,Die Ostschweiz,bundesrat,1
45,74,Die Ostschweiz,covid-19-gesetz,1
25,75,Die Ostschweiz,Zahlen,2
3,75,Die Ostschweiz,lockdown2,1
2,76,ZE!TPUNKT,Politik,2
43,76,ZE!TPUNKT,Recht,2
10,76,ZE!TPUNKT,massnahmen,1
36,77,ARD,welle2,1
6,78,EbM Netzwerk,Medizin,2
20,78,EbM Netzwerk,Impfung,2
17,78,EbM Netzwerk,pcr-test,1
79,78,EbM Netzwerk,evidenz,1
2,80,reitschuster,Politik,2
81,80,reitschuster,Wirtschaft,2
82,80,reitschuster,rki,1
17,80,reitschuster,pcr-test,1
33,80,reitschuster,manipulation,1
47,83,NZZ,Spital,2
25,83,NZZ,Zahlen,2
18,83,NZZ,infektion,1
43,84,Langemann Medien,Recht,2
85,84,Langemann Medien,geld,1
6,86,Wochenblick,Medizin,2
20,86,Wochenblick,Impfung,2
38,86,Wochenblick,impf-nebenwirkungen,1
6,87,ZE!TPUNKT,Medizin,2
29,87,ZE!TPUNKT,maske,1
89,88,ScienceFiles,Studie,2
90,88,ScienceFiles,nature,1
91,88,ScienceFiles,asymptomatisch,1
18,88,ScienceFiles,infektion,1
3,92,Die Welt,lockdown2,1
67,92,Die Welt,who,1
89,93,RT DE,Studie,2
29,93,RT DE,maske,1
6,94,SRF,Medizin,2
29,94,SRF,maske,1
6,95,Deutsches Ärzteblatt,Medizin,2
28,95,Deutsches Ärzteblatt,kind,1
69,95,Deutsches Ärzteblatt,immunität,1
7,96,Epoch Times,Widerstand,2
6,96,Epoch Times,Medizin,2
10,96,Epoch Times,massnahmen,1
7,97,Rubikon,Widerstand,2
43,97,Rubikon,Recht,2
98,97,Rubikon,grundrechte,1
20,99,NachDenkSeiten,Impfung,2
38,99,NachDenkSeiten,impf-nebenwirkungen,1
85,99,NachDenkSeiten,geld,1
25,100,Berliner Zeitung,Zahlen,2
67,100,Berliner Zeitung,who,1
26,100,Berliner Zeitung,sterblichkeit,1
20,101,Wochenblick,Impfung,2
13,101,Wochenblick,Mensch,2
43,102,substack.com,Recht,2
2,102,substack.com,Politik,2
8,102,substack.com,zensur,1
14,102,substack.com,dialog,1
65,103,Corona Transition,P(l)andemie,2
8,103,Corona Transition,zensur,1
33,103,Corona Transition,manipulation,1
89,104,tp - Science & Technology,Studie,2
20,104,tp - Science & Technology,Impfung,2
69,104,tp - Science & Technology,immunität,1
18,104,tp - Science & Technology,infektion,1
89,105,RT DE,Studie,2
16,105,RT DE,Wissenschaft,2
17,105,RT DE,pcr-test,1
16,106,2020 News,Wissenschaft,2
25,106,2020 News,Zahlen,2
10,106,2020 News,massnahmen,1
50,106,2020 News,quarantäne,1
13,107,Die Ostschweiz,Mensch,2
43,108,Langemann Medien,Recht,2
85,108,Langemann Medien,geld,1
43,109,Honk for Hope,Recht,2
22,109,Honk for Hope,lockdown,1
65,110,substack.com,P(l)andemie,2
33,110,substack.com,manipulation,1
2,111,Rubikon,Politik,2
43,111,Rubikon,Recht,2
10,111,Rubikon,massnahmen,1
112,111,Rubikon,demokratie,1
25,113,Die Ostschweiz,Zahlen,2
47,113,Die Ostschweiz,Spital,2
53,113,Die Ostschweiz,taskforce,1
10,113,Die Ostschweiz,massnahmen,1
6,114,Focus Online,Medizin,2
48,114,Focus Online,angst,1
25,115,INFOsperber,Zahlen,2
116,115,INFOsperber,r-wert,1
7,117,SRF,Widerstand,2
20,117,SRF,Impfung,2
13,118,Epoch Times,Mensch,2
7,118,Epoch Times,Widerstand,2
29,118,Epoch Times,maske,1
81,119,medinside.ch,Wirtschaft,2
17,119,medinside.ch,pcr-test,1
85,119,medinside.ch,geld,1
13,120,Rubikon,Mensch,2
58,120,Rubikon,wef,1
66,120,Rubikon,great reset,1
16,121,Achgut.com,Wissenschaft,2
122,121,Achgut.com,leopoldina,1
112,121,Achgut.com,demokratie,1
25,123,Weltwoche,Zahlen,2
33,123,Weltwoche,manipulation,1
16,124,PubMed,Wissenschaft,2
20,124,PubMed,Impfung,2
38,124,PubMed,impf-nebenwirkungen,1
20,125,ZDF,Impfung,2
38,125,ZDF,impf-nebenwirkungen,1
