"id","title","value","link","group"
"1","Impfrisiken bei Schwangeren besser evaluieren","1","https://www.achgut.com/artikel/mehr_fehlgeburten_durch_die_impfung","Achgut.com"
"2","Impfung","195","","Impfung"
"3","Gesundheit","29","","Gesundheit"
"4","kind","33","","kind"
"5","Daten zeigen: Schutz durch Immunität nach natürlicher Infektion vielfach besser als nach Impfung","1","https://tkp.at/2021/08/17/daten-zeigen-schutz-durch-immunitaet-nach-natuerlicher-infektion-vielfach-besser-als-nach-impfung/","tp - Science & Technology"
"6","Zahlen","68","","Zahlen"
"7","immunität","30","","immunität"
"8","Gastronomie nur noch mit Zertifikat: Wir zerlegen eine Warnung in Einzelteile","1","https://www.dieostschweiz.ch/artikel/gastronomie-nur-noch-mit-zertifikat-wir-zerlegen-eine-warnung-in-einzelteile-AWXpqqz","Die Ostschweiz"
"9","Politik","35","","Politik"
"10","impfpass","7","","impfpass"
"11","st.gallen","1","","st.gallen"
"12","Teil 2: Corona - auf der Suche nach der Wahrheit - ServusTV","1","https://www.servustv.com/aktuelles/v/aa-28a3dbyxh1w11/","ServusTV"
"13","Wissenschaft","31","","Wissenschaft"
"14","Medizin","20","","Medizin"
"15","dialog","10","","dialog"
"16","Entwicklungsstörung durch Lockdown: Erheblicher Verlust kognitiver und motorischer Fähigkeiten bei Kleinkindern [Neue Studie]","1","https://sciencefiles.org/2021/08/23/entwicklungsstorung-durch-lockdown-erheblicher-verlust-kognitiver-und-motorischer-fahigkeiten-bei-kleinkindern-neue-studie/","ScienceFiles"
"17","lockdown","6","","lockdown"
"18","kollateralschäden","7","","kollateralschäden"
"19","„Ein weltweites mafiöses Verbrechen“: Heiko Schöning über die Hintergründe unserer Zeit","1","https://auf1.tv/stefan-magnet-auf1/ein-weltweites-mafioeses-verbrechen-heiko-schoening-ueber-die-hintergruende-unserer-zeit/","AUF1.TV"
"20","Recht","25","","Recht"
"21","manipulation","53","","manipulation"
"22","Für die Saison untypische RS-Virus-Infektionen bei Kindern in der Schweiz","1","https://corona-transition.org/fur-die-saison-untypische-rs-virus-infektionen-bei-kindern-in-der-schweiz","Corona Transition"
"23","massnahmen","15","","massnahmen"
"24","Britischer Gesundheitsminister: Lockdowns verursachen Todesfälle","1","https://tkp.at/2021/07/06/britischer-gesundheitsminister-lockdowns-verursachen-todesfaelle/","tp - Science & Technology"
"25","Israelische und europäische Experten: Corona-Impfung könnte COVID-19-Varianten hervorrufen","1","https://www.epochtimes.de/meinung/gastkommentar/israelische-und-europaeische-experten-corona-impfung-koennte-covid-19-varianten-hervorrufen-a3549957.html","Epoch Times"
"26","virus-mutation","12","","virus-mutation"
"27","«Niederträchtige 3-G-Regel für Restaurants»","1","https://www.linth24.ch/articles/82926-niedertraechtige-3-g-regel-fuer-restaurants","linth24"
"28","Widerstand","38","","Widerstand"
"29","„Corona bei 80 Prozent der offiziellen Covid-Toten wohl nicht Todesursache“","1","https://www.welt.de/politik/deutschland/plus233426581/Corona-bei-80-Prozent-der-offiziellen-Covid-Toten-wohl-nicht-Todesursache.html","Die Welt"
"30","sterblichkeit","16","","sterblichkeit"
"31","Debatte um Impfpflicht: Erst Bratwurst, dann Bußgeld?","1","https://miloszmatuschek.substack.com/p/debatte-um-impfpflicht-erst-bratwurst","substack.com"
"32","impfzwang","23","","impfzwang"
"33","Covid-Gesetz: «Freunde der Verfassung» als neue Polit-Macht","1","https://www.nzz.ch/schweiz/covid-gesetz-freunde-der-verfassung-als-neue-polit-macht-ld.1635131","NZZ"
"34","covid-19-referendum","1","","covid-19-referendum"
"35","Mehr als die Hälfte aller Delta","1","https://reitschuster.de/post/mehr-als-die-haelfte-aller-delta-toten-in-grossbritannien-war-geimpft/","reitschuster"
"36","Brief der portugiesischen Richterin: Corona-Maßnahmen verfassungswidrig und ohne Basis","1","https://report24.news/richterin-aus-lissabon-mit-brandbrief-gegen-portugals-corona-apartheid/","Report24"
"37","Niederlande: 500 Tote, doch Impfkampagne läuft weiter","1","https://report24.news/niederlande-500-tote-doch-impfkampagne-laeuft-weiter/","Report24"
"38","mit oder an impfung gestorben","47","","mit oder an impfung gestorben"
"39","Arzt an Ärztepräsident: ""Sind Ihnen die hunderttausenden Nebenwirkungen egal?""","1","https://www.wochenblick.at/arzt-an-aerztepraesident-sind-ihnen-die-hunderttausenden-nebenwirkungen-egal/","Wochenblick"
"40","impf-nebenwirkungen","53","","impf-nebenwirkungen"
"41","Widerstand gegen Kinder-Tests: Proll rechnet mit Politik-Irrsinn ab","1","https://www.wochenblick.at/widerstand-gegen-kinder-tests-proll-rechnet-mit-politik-irrsinn-ab/","Wochenblick"
"42","Poltik","2","","Poltik"
"43","massentest","4","","massentest"
"44","kultur","3","","kultur"
"45","Die Nagelprobe","1","https://www.rubikon.news/artikel/die-nagelprobe-2","Rubikon"
"46","P(l)andemie","9","","P(l)andemie"
"47","Neues «mathematisches Modell» von Neil Ferguson soll weiteren Lockdown rechtfertigen","1","https://corona-transition.org/neues-mathematisches-modell-von-neil-ferguson-soll-weiteren-lockdown","Corona Transition"
"48","angst","10","","angst"
"49","CDC-Datenbank: In 7 Monaten mehr Impftote als in 120 Jahren","1","https://report24.news/cdc-datenbank-in-7-monaten-mehr-impftote-als-in-120-jahren/","Report24"
"50","Sein 6-Jähriger Sohn warnte ihn noch - nun ist der 53-jährige Musiker tot","1","https://report24.news/sein-6-jaehriger-sohn-warnte-ihn-noch-nun-ist-der-53-jaehrige-musiker-tot/","Report24"
"51","johnson & johnson","4","","johnson & johnson"
"52","Grippe mittlerweile 10 mal gefährlicher als Corona","1","https://tkp.at/2021/07/19/grippe-mittlerweile-10-mal-gefaehrlicher-als-corona/","tp - Science & Technology"
"53","Kein Grund, zu feiern – und Spaltung von ganz oben","1","https://www.dieostschweiz.ch/artikel/kein-grund-zu-feiern-und-spaltung-von-ganz-oben-JoG63R4","Die Ostschweiz"
"54","Mensch","16","","Mensch"
"55","Swissmedic genehmigt Indikationserweiterung des Spikevax-Impfstoffs für 12 bis 17-Jährige","1","https://www.swissmedic.ch/swissmedic/de/home/news/coronavirus-covid-19/indikationserweiterung-spikevax-impfstoff.html","Swissmedic"
"56","swissmedic","9","","swissmedic"
"57","moderna","5","","moderna"
"58","Panische Notrufe von Spitälern — während 45 Prozent aller Intensivbetten verschwunden sind","1","https://corona-transition.org/panische-notrufe-von-spitalern-wahrend-45-prozent-aller-intensivbetten","Corona Transition"
"59","Spital","9","","Spital"
"60","taskforce","4","","taskforce"
"61","Appell an alle Ärztinnen und Ärzte: Wo bleibt die Wissenschaftlichkeit und die Menschlichkeit?","1","https://aletheia-scimed.ch/Appell-an-alle-Arztinnen-und-Arzte-Wo-bleibt-die-Wissenschaftlichkeit-und-die","Aletheia"
"62","Gegenwind für US-""Demokraten"": Militärs klagen gegen drohende Impfpflicht","1","https://report24.news/gegenwind-fuer-us-demokraten-militaers-klagen-gegen-drohende-impfpflicht/","Report24"
"63","Wenig gute Gründe für Jugendliche, sich impfen zu lassen (2)","1","https://www.infosperber.ch/gesundheit/public-health/wenig-gute-gruende-fuer-jugendliche-sich-impfen-zu-lassen-2/","INFOsperber"
"64","jugend","26","","jugend"
"65","Häufung der Sterbefälle bei Senioren im Juni - ist die Impfung die Ursache?","1","https://corona-blog.net/2021/08/08/haeufung-der-sterbefaelle-bei-senioren-im-juni-ist-die-impfung-die-ursache/","corona-blog.net"
"66","US vaccine-related deaths increasing rapidly","1","https://swprs.org/us-vaccine-deaths-increasing-rapidly/","Swiss Policy Research"
"67","Israels Versagen - Arzt deckt auf: 80% der schweren Corona-Fälle geimpft","1","https://www.wochenblick.at/israels-versagen-arzt-deckt-auf-80-der-schweren-corona-faelle-geimpft/","Wochenblick"
"68","Finnische Studie zeigt neuerlich: Kinder sind gut geschützt gegen Corona Infektionen","1","https://tkp.at/2021/07/07/finnische-studie-zeigt-neuerlich-kinder-sind-gut-geschuetzt-gegen-corona-infektionen/","tp - Science & Technology"
"69","Studie","23","","Studie"
"70","spike-protein","4","","spike-protein"
